Track                ,Max_Speed ,Warning_Time_TVP ,Warning_Time_TR
"[1000,100,100]"     ,       10 ,              96 ,             26
"[1000,100,100]"     ,       20 ,              48 ,             26
"[1000,100,100]"     ,       30 ,              32 ,             26
"[1000,100,100]"     ,       38 ,              25 ,             26
"[1100,100,100]"     ,       10 ,             104 ,             26
"[1100,100,100]"     ,       20 ,              51 ,             26
"[1100,100,100]"     ,       30 ,              33 ,             26
"[1100,100,100]"     ,       38 ,              25 ,             26
"[1300,100,100]"     ,       10 ,             118 ,             26
"[1300,100,100]"     ,       20 ,              55 ,             26
"[1300,100,100]"     ,       30 ,              34 ,             26
"[1300,100,100]"     ,       38 ,              25 ,             26
"[1400,100,100]"     ,       10 ,             126 ,             26
"[1400,100,100]"     ,       20 ,              58 ,             26
"[1400,100,100]"     ,       30 ,              35 ,             26
"[1400,100,100]"     ,       38 ,              25 ,             26
"[1500,100,100]"     ,       10 ,             133 ,             26
"[1500,100,100]"     ,       20 ,              60 ,             26
"[1500,100,100]"     ,       30 ,              35 ,             26
"[1500,100,100]"     ,       38 ,              25 ,             26
"[100,1500,100,100]" ,       10 ,             137 ,             26
"[100,1500,100,100]" ,       20 ,              62 ,             26
"[100,1500,100,100]" ,       30 ,              37 ,             26
"[100,1500,100,100]" ,       38 ,              26 ,             26
"[300,1500,100,100]" ,       10 ,             137 ,             26
"[300,1500,100,100]" ,       20 ,              62 ,             26
"[300,1500,100,100]" ,       30 ,              36 ,             26
"[300,1500,100,100]" ,       38 ,              26 ,             26
"[500,1500,100,100]" ,       10 ,             137 ,             26
"[500,1500,100,100]" ,       20 ,              62 ,             26
"[500,1500,100,100]" ,       30 ,              36 ,             26
"[500,1500,100,100]" ,       38 ,              25 ,             26
"[700,1500,100,100]" ,       10 ,             137 ,             26
"[700,1500,100,100]" ,       20 ,              62 ,             26
"[700,1500,100,100]" ,       30 ,              37 ,             26
"[700,1500,100,100]" ,       38 ,              25 ,             26